,Event,Division,Logistic,Logistic-ignore zero,Discretisation,Cumulative,Null,Preferred Model,Evidence
0,Battles,Barisal,-25.95868252398698,-21.892505507078496,-25.672690158805917,-21.104219133178297,-21.447014583187205,Cumulative,0.3427954500089072
1,Battles,Chittagong,-179.7749654389319,-151.3435640098243,-170.63294299959142,-153.94645036160443,-159.53259341248386,Logistic-ignore zero,2.6028863517801426
2,Battles,Dhaka,-163.88461566851677,-147.26616659289257,-202.85210225763376,-145.6883894071311,-146.70331536909694,Cumulative,1.0149259619658437
3,Battles,Khulna,-151.06676438927553,-137.82123500850196,-206.2989141996243,-136.26245013625112,-139.1934561141056,Cumulative,1.5587848722508397
4,Battles,Mymensingh,-37.76301361277722,-30.115803314943207,-29.902739335002867,-31.03290990374767,-31.49503537121661,Discretisation,0.21306397994034043
5,Battles,Rajshahi,-119.68854358008325,-106.9129708060609,-145.31930972936297,-106.39939860891022,-107.02675258795013,Cumulative,0.5135721971506797
6,Battles,Rangpur,-51.36925921394574,-44.02770037582221,-53.480640876104324,-44.048372368345426,-44.47244023283385,Logistic-ignore zero,0.020671992523219274
7,Battles,Sylhet,-107.83440632358887,-94.60378861960312,-113.01270500619081,-94.6345457137838,-95.99615909200611,Logistic-ignore zero,0.03075709418067163
8,Explosions/Remote violence,Barisal,-0.029949693739476757,-1.0109931644686156,-0.8907269767284465,-0.88132628987948,-0.876319005651311,Logistic,0.8463693119118343
9,Explosions/Remote violence,Chittagong,-19.34038856585214,-13.645305351564309,-13.920098095481796,-14.657748752937094,-15.252714470733151,Logistic-ignore zero,0.2747927439174873
10,Explosions/Remote violence,Dhaka,-48.27640557202267,-30.877943759404666,-41.43675904816,-34.36776559580368,-40.167532205753034,Logistic-ignore zero,3.4898218363990168
11,Explosions/Remote violence,Khulna,-44.10070082920329,-33.34989850508428,-43.040182026726626,-34.874679798991984,-36.4761273574401,Logistic-ignore zero,1.5247812939077008
12,Explosions/Remote violence,Mymensingh,-0.010805081513764137,-0.5680075330522989,-0.5413191530238777,-0.5188608499059626,-0.5401996476285902,Logistic,0.5080557683921985
13,Explosions/Remote violence,Rajshahi,-16.06904503498989,-16.203324796992693,-16.000243344531604,-15.172175693248644,-15.211708734932746,Cumulative,0.03953304168410199
14,Explosions/Remote violence,Rangpur,-6.840888849010181,-2.201809796773679,-2.2348436293165648,-2.24828424732217,-2.237678658736913,Logistic-ignore zero,0.03303383254288583
15,Explosions/Remote violence,Sylhet,-6.8321022287341275,-2.201809796773679,-2.2498930333975604,-2.2424303350331343,-2.237678658736913,Logistic-ignore zero,0.03586886196323391
16,Riots,Barisal,-133.99077009441532,-121.33851468881518,-197.0899350247992,-125.55805901201805,-138.52658252679086,Logistic-ignore zero,4.219544323202868
17,Riots,Chittagong,-293.3550949856324,-281.61491927524855,-874.8118339358466,-286.59108352405207,-326.78427152632196,Logistic-ignore zero,4.976164248803514
18,Riots,Dhaka,-346.26399639520184,-338.66042528229866,-1480.8622102467675,-352.0316541739918,-419.4165131419835,Logistic-ignore zero,7.603571112903182
19,Riots,Khulna,-277.2414462822132,-255.04406965114313,-638.455845691264,-270.9245562209021,-315.7911953591855,Logistic-ignore zero,15.880486569758972
20,Riots,Mymensingh,-138.83474211071348,-101.4889169734517,-177.64053401977765,-116.74111911169271,-138.15885582965157,Logistic-ignore zero,15.252202138241017
21,Riots,Rajshahi,-247.7873317261413,-232.0989228667673,-754.0138007610065,-240.00575038129998,-281.5552407085427,Logistic-ignore zero,7.906827514532665
22,Riots,Rangpur,-203.1608132491159,-182.2482797588308,-331.4622903043425,-185.44389786078705,-196.91509415630998,Logistic-ignore zero,3.1956181019562564
23,Riots,Sylhet,-210.19244885824406,-191.70414727782082,-347.45690602079264,-193.61711423139636,-204.66807574525978,Logistic-ignore zero,1.912966953575534
24,Violence against civilians,Barisal,-92.56486956258172,-78.79960253524858,-92.21614675103791,-78.81726755978251,-79.45026724066251,Logistic-ignore zero,0.017665024533926044
25,Violence against civilians,Chittagong,-181.04168167385967,-163.8761084124529,-213.9635236724934,-162.96474782860585,-163.56254151546537,Cumulative,0.597793686859518
26,Violence against civilians,Dhaka,-207.1816402457421,-189.44344172022852,-260.28739520484856,-188.169333264155,-189.18708250862767,Cumulative,1.0177492444726681
27,Violence against civilians,Khulna,-222.0060571773108,-181.7670338430683,-230.6674061359554,-188.76924121224206,-199.52262191463754,Logistic-ignore zero,7.00220736917376
28,Violence against civilians,Mymensingh,-51.270054029961145,-44.40787183915567,-48.7049934000993,-44.42379715806101,-44.6109242199141,Logistic-ignore zero,0.01592531890533877
29,Violence against civilians,Rajshahi,-186.53256508278412,-167.82588789023717,-219.28545182871605,-167.34340785786043,-168.13887576137873,Cumulative,0.482480032376742
30,Violence against civilians,Rangpur,-153.34308615440594,-132.87219338458078,-150.8782275994046,-132.1747610485293,-132.75333282938587,Cumulative,0.5785717808565778
31,Violence against civilians,Sylhet,-106.35793929698895,-94.60574585234741,-107.76516179641033,-94.18324909489344,-94.6672873284254,Cumulative,0.4224967574539704
